AC_Name,AC_No,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
MANJESHWAR,1,1,A K M ASHRAF,Indian Union Muslim League,65190,568,65758,38.14
MANJESHWAR,1,2,V V RAMESHAN,Communist Party of India  (Marxist),40098,541,40639,23.57
MANJESHWAR,1,3,K SURENDRAN,Bharatiya Janata Party,64000,1013,65013,37.7
MANJESHWAR,1,4,PRAVEEN KUMAR S,Anna Democratic Human Rights Movement Party of India,250,1,251,0.15
MANJESHWAR,1,5,JOHN D SOUZA I,Independent,180,1,181,0.1
MANJESHWAR,1,6,SURENDRAN M S/o PADMAVATHI M,Independent,196,1,197,0.11
MANJESHWAR,1,7,NOTA,None of the Above,387,0,387,0.22
KASARAGOD,2,1,N A NELLIKKUNNU,Indian Union Muslim League,62824,472,63296,43.8
KASARAGOD,2,2,VIJAYA K P,Bahujan Samaj Party,664,15,679,0.47
KASARAGOD,2,3,ADV K SHREEKANTH,Bharatiya Janata Party,49737,658,50395,34.88
KASARAGOD,2,4,RANJITH RAJ M,Anna Democratic Human Rights Movement Party of India,545,10,555,0.38
KASARAGOD,2,5,M A LATHEEF,Indian National League,28028,295,28323,19.6
KASARAGOD,2,6,NISHANTH KUMAR I B,Independent,412,5,417,0.29
KASARAGOD,2,7,SUDHAKARAN K,Independent,192,4,196,0.14
KASARAGOD,2,8,NOTA,None of the Above,629,10,639,0.44
UDMA,3,1,C H KUNHAMBU,Communist Party of India  (Marxist),76733,1931,78664,47.58
UDMA,3,2,BALAKRISHNAN PERIYE,Indian National Congress,64117,1225,65342,39.52
UDMA,3,3,A VELAYUDHAN,Bharatiya Janata Party,19978,382,20360,12.31
UDMA,3,4,GOVINDAN B ALINTHAZE,Ambedkarite Party of India,189,5,194,0.12
UDMA,3,5,KUNHAMBU K  S/o Kuttappan K C,Independent,134,6,140,0.08
UDMA,3,6,RAMESHAN K,Independent,204,3,207,0.13
UDMA,3,7,NOTA,None of the Above,430,4,434,0.26
KANHANGAD,4,1,E CHANDRASHEKARAN,Communist Party of India,82189,2426,84615,50.72
KANHANGAD,4,2,BALRAJ,Bharatiya Janata Party,21119,451,21570,12.93
KANHANGAD,4,3,P V SURESH,Indian National Congress,56112,1364,57476,34.45
KANHANGAD,4,4,ABDUL SAMAD. T S/o T KUNHAMU HAJI,SOCIAL DEMOCRATIC PARTY OF INDIA,774,1,775,0.46
KANHANGAD,4,5,T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Janata Dal  (United),86,1,87,0.05
KANHANGAD,4,6,RESHMA KARIVEDAKAM,Anna Democratic Human Rights Movement Party of India,181,4,185,0.11
KANHANGAD,4,7,AUGUSTIN,Independent,495,37,532,0.32
KANHANGAD,4,8,KRISHNAN PARAPPACHAL,Independent,347,10,357,0.21
TRIKARIPUR,5,1,M RAJAGOPALAN,Communist Party of India  (Marxist),82556,3595,86151,53.71
TRIKARIPUR,5,2,SHIBIN T V,Bharatiya Janata Party,10621,340,10961,6.83
TRIKARIPUR,5,3,M P JOSEPH,Kerala Congress,58200,1814,60014,37.41
TRIKARIPUR,5,4,T MAHESH MASTER,Welfare Party Of India,799,18,817,0.51
TRIKARIPUR,5,5,LIYAKATHALI P,SOCIAL DEMOCRATIC PARTY OF INDIA,1188,23,1211,0.75
TRIKARIPUR,5,6,SUDHAN VELLARIKKUND,Anna Democratic Human Rights Movement Party of India,104,12,116,0.07
TRIKARIPUR,5,7,JOY JOHN,Independent,352,10,362,0.23
TRIKARIPUR,5,8,M V JOSEPH,Independent,192,26,218,0.14
PAYYANNUR,6,1,M PRADEEP KUMAR,Indian National Congress,42723,1192,43915,29.29
PAYYANNUR,6,2,T  I MADHUSOODANAN,Communist Party of India  (Marxist),89909,3786,93695,62.49
PAYYANNUR,6,3,Adv  K K SREEDHARAN,Bharatiya Janata Party,11048,260,11308,7.54
PAYYANNUR,6,4,ABHILASH K V,Independent,334,7,341,0.23
PAYYANNUR,6,5,NOTA,None of the Above,653,33,686,0.46
KALLIASSERI,7,1,ARUN KAITHAPRAM,Bharatiya Janata Party,11135,230,11365,7.81
KALLIASSERI,7,2,ADV. BRIJESH KUMAR,Indian National Congress,42785,1074,43859,30.13
KALLIASSERI,7,3,M VIJIN,Communist Party of India  (Marxist),85304,2948,88252,60.62
KALLIASSERI,7,4,FAIZAL MADAYI,Welfare Party Of India,1141,28,1169,0.8
KALLIASSERI,7,5,BRIJESHKUMAR M.  S/o AMBU,Independent,272,2,274,0.19
KALLIASSERI,7,6,NOTA,None of the Above,647,19,666,0.46
